gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2070,3520,2055,2911,11.0,3811,1800,1867,2105,1441,1880,2065,1629,1632,2345,2527,1432,102.0,1145.35,1
2142,3520,2055,1301,66.0,3811,1800,1438,2105,1864,1425,2065,1629,1673,997,2527,891,64.622374368519,4189.7,0
2142,3520,2055,1301,71.0,3811,2011,907,907,907,907,907,907,907,997,1685,962,19.45,1378.45,0
2070,3520,2055,2911,31.0,3811,2011,1438,1200,1864,1880,1240,1676,1632,870,2527,1432,64.0,1910.75,0
2142,3520,2055,1301,62.0,3811,2011,1438,1200,1441,1425,1240,1629,1632,997,1685,1432,64.622374368519,5215.25,0
2142,3520,2055,1301,32.0,3811,2011,907,907,907,907,907,907,907,997,1685,962,18.95,613.95,0
2142,3520,2055,1301,67.0,3811,2011,1438,1200,1441,1880,2065,1676,1673,997,2527,891,54.2,3838.2,0
2142,3520,2055,1301,71.0,3811,1800,1438,1200,1441,1880,1240,1676,1673,870,2527,927,64.622374368519,4748.7,0
2070,3520,2055,1301,8.0,3811,2011,907,907,907,907,907,907,907,997,2527,962,19.85,146.6,0
2142,3520,2157,2911,1.0,3811,2011,1867,2105,1864,1880,2065,1629,1673,2345,2527,1432,80.55,80.55,0
2142,3520,2157,2911,5.0,3811,1800,1867,2105,1864,1425,2065,1629,1673,2345,2527,1432,92.5,452.7,1
2142,692,2055,2911,16.0,3811,1800,1867,2105,1864,1880,2065,1629,1673,2345,2527,927,85.05,1391.15,0
2142,3520,2157,2911,34.0,3811,1800,907,907,907,907,907,907,907,997,1685,891,26.1,980.35,0
2142,692,2055,2911,71.0,3811,2011,1438,1200,1441,1880,1240,1629,1673,870,2527,891,71.0,5012.1,0
2070,692,2157,2911,7.0,3811,2011,1867,2105,1864,1880,2065,1629,1632,2345,2527,1432,64.622374368519,574.35,0
2142,3520,2157,2911,39.0,3811,2011,907,907,907,907,907,907,907,870,1685,962,19.9,791.15,0
2142,3520,2055,1301,14.0,3811,2011,1438,1200,1441,1880,2065,1676,1632,997,2527,891,61.4,815.55,0
2142,3520,2055,2911,40.0,3811,1800,1867,2105,1441,1425,2065,1629,1632,870,2527,891,106.0,4178.65,0
